genre,meanTempogram,stdTempogram,varTempogram,meanMFCC_1,stdMFCC_1,varMFCC_1,meanMFCC_2,stdMFCC_2,varMFCC_2,meanMFCC_3,stdMFCC_3,varMFCC_3,meanMFCC_4,stdMFCC_4,varMFCC_4,meanMFCC_5,stdMFCC_5,varMFCC_5,meanMFCC_6,stdMFCC_6,varMFCC_6,meanMFCC_7,stdMFCC_7,varMFCC_7,meanMFCC_8,stdMFCC_8,varMFCC_8,meanMFCC_9,stdMFCC_9,varMFCC_9,meanMFCC_10,stdMFCC_10,varMFCC_10,meanMFCC_11,stdMFCC_11,varMFCC_11,meanMFCC_12,stdMFCC_12,varMFCC_12,meanMFCC_13,stdMFCC_13,varMFCC_13,meanSpectralCentroid,stdSpectralCentroid,varSpectralCentroid,meanZeroCrossingRate,stdZeroCrossingRate,varZeroCrossingRate,meanChromaFrequencies,stdChromaFrequencies,varChromaFrequencies,meanSpectralRollOff,stdSpectralRollOff,varSpectralRollOff,meanSpectralBandwidth,stdSpectralBandwidth,varSpectralBandwidth,meanSpectralContrast,stdSpectralContrast,varSpectralContrast,meanSpectralFlatness,stdSpectralFlatness,varSpectralFlatness
reggae,0.11735475059881785,0.15431446644038188,0.023812954552779746,-120.30244,78.2187,6118.164,16.411486,29.574226,874.6349,25.025099,32.30816,1043.8171,37.238106,21.329306,454.9393,9.279242,15.001094,225.03282,13.021599,11.561278,133.66316,3.2258027,13.802674,190.51381,5.973432,10.0153675,100.30759,4.084741,10.186801,103.770905,1.7192081,9.586959,91.90978,1.9048557,9.939675,98.79715,2.6762865,8.122076,65.968124,2.0168796,7.92982,62.882046,4282.077748119587,992.3556993470962,984769.8340266645,0.2237736701227765,0.09252784825051479,0.008561402701870292,0.45761815,0.28531685,0.081405714,7888.788054216212,1374.3392420557057,1888808.3522542517,3111.941275152179,377.19968931626266,142279.6056202851,17.642215908715958,4.208348467178055,17.71019682119989,0.12405621,0.09999572,0.009999144
reggae,0.1310550458617068,0.16504691279517614,0.02724048342321848,-194.51596,76.887184,5911.639,118.60054,33.756348,1139.4911,-6.409203,24.3207,591.4964,40.804302,22.469036,504.85754,-3.2866316,17.977087,323.17566,25.466774,12.321954,151.83054,-9.30566,15.328574,234.96518,11.397345,12.780701,163.34631,-6.1549673,14.193209,201.44717,15.34088,11.296712,127.61571,-5.159609,10.271622,105.50621,5.765298,9.134583,83.44062,-6.277685,10.234225,104.739365,1691.2049386237768,706.8140831218163,499586.14809933386,0.06943789878190255,0.0459686591690261,0.0021131176257980873,0.3688347,0.30838874,0.09510361,3577.5593414660675,1650.8325757720063,2725248.1932300366,1963.1328612294574,459.99668519815054,211596.9503932864,22.917425059474603,7.8184523167667015,61.1281966295546,0.004130649,0.008081219,6.530611e-05
reggae,0.1450299029777595,0.17276019094599548,0.029846083575696822,-85.284035,57.404987,3295.3325,60.939976,34.28431,1175.4138,34.796627,24.383411,594.5508,19.791687,20.464342,418.78934,16.711823,18.258326,333.3665,7.9517903,14.219922,202.20618,9.296489,11.468581,131.52835,11.353253,10.877309,118.31585,1.3722411,11.645704,135.62244,-0.083781116,9.48676,89.99862,6.410583,9.6010065,92.17932,3.6274137,8.547828,73.06535,5.6600823,9.08443,82.52686,3289.023545845818,1228.0903222158813,1508205.8395203073,0.1340670014017788,0.09847996063744688,0.009698302647153087,0.502262,0.2894434,0.08377748,7282.860705028277,1969.5185916931136,3879003.483024826,3253.310613903925,469.1843722944632,220133.97520534944,16.260717939976264,3.7197871941038554,13.836816769419032,0.060917065,0.07090683,0.0050277794
reggae,0.12739156033114699,0.15761062535362202,0.024841109224359798,-192.23238,70.85366,5020.2407,116.50393,25.78889,665.0669,-10.944519,26.93175,725.3191,29.895706,20.420746,417.00687,-0.6606049,18.550642,344.12634,21.446615,11.985393,143.64964,-11.871785,20.089876,403.6031,18.647598,12.49549,156.13728,-13.083756,12.619587,159.25397,14.465288,12.103138,146.48595,-7.384208,11.792921,139.07298,4.8258553,10.3778715,107.700226,-2.8082738,10.723589,114.99537,1754.053045973853,676.0118659877573,456992.04295624956,0.07387510271655066,0.044732996398162306,0.0020010409667580017,0.3860586,0.30272365,0.09164161,3690.146518362094,1705.07314714207,2907274.437104963,2026.2248244688653,459.070458117434,210745.68551615073,22.62525526921695,8.169885996987222,66.7470372037679,0.0049542296,0.00940863,8.852232e-05
reggae,0.11215523002435708,0.15436634108141858,0.023828967258864863,-104.933464,73.266464,5367.975,66.42192,43.851734,1922.9745,-2.3092995,20.86775,435.46298,24.605059,18.168087,330.0794,8.405308,13.672671,186.94194,6.764181,14.103318,198.9036,1.6801283,13.197134,174.16435,5.182534,12.5723505,158.064,1.0469637,11.906126,141.75584,2.1926835,10.039682,100.79523,2.9522212,9.012336,81.2222,4.577895,8.008094,64.12956,4.1976614,9.379994,87.98429,2954.8185788567075,1356.7786557771838,1840848.3207725417,0.12703658219740913,0.09335017593685004,0.008714255347440856,0.46001703,0.28912213,0.08359161,5823.798839454032,2314.8656423476523,5358602.942121609,2690.155876976681,530.5962492377766,281532.3797051968,18.065547469108893,4.2259592035970455,17.858731190466578,0.09026985,0.12446348,0.01549116
reggae,0.1100689114415757,0.14192408814148033,0.02014244679479068,-141.79128,92.3189,8522.779,44.11575,46.635433,2174.8635,21.728647,24.438437,597.2372,43.32312,19.951473,398.06125,21.75608,19.581604,383.43918,11.198306,16.084352,258.7064,3.5537155,14.375794,206.66345,15.018743,10.363048,107.39276,-1.7399637,10.8033905,116.71324,6.4378867,9.956246,99.12685,6.936146,11.281652,127.27569,0.73215026,10.632444,113.04887,3.972216,9.891325,97.83831,3110.220722839697,1347.1976235064476,1814941.4367814201,0.12158920630317092,0.10428241343017351,0.010874821750821634,0.40876853,0.31083423,0.09661792,6342.244428382395,2207.114311371236,4871353.583459725,2852.7354961001915,518.1707309736199,268500.9064377356,19.593952473689384,5.459718913641922,29.808530615979322,0.05033603,0.07130137,0.0050838855
reggae,0.10896034249846952,0.14514941031697193,0.021068351315364674,-184.57799,92.13335,8488.554,106.2077,34.668903,1201.9327,4.015715,28.484398,811.3609,38.713036,16.638939,276.8543,8.409507,23.549194,554.5646,30.455729,12.367539,152.95604,-3.3420124,19.478243,379.40195,20.307583,11.399085,129.93915,-1.5344261,12.900827,166.43135,15.917467,9.797264,95.98638,-6.514726,10.171851,103.46656,13.190656,9.386204,88.10082,-1.7174906,10.347048,107.0614,1753.93623984055,955.7808299373073,913516.994875648,0.0712822650812065,0.06443129253250071,0.004151391457408682,0.39411247,0.31837562,0.10136304,3819.37071762616,2117.9450882424217,4485691.3968102,2068.2620053448472,582.6677585177025,339501.7168160437,22.0802429588919,8.364099503095021,69.95816049767437,0.0044627516,0.009043096,8.177757e-05
reggae,0.09467315050731924,0.14308664375236788,0.020473787620317034,-236.6471,74.17491,5501.9175,91.68791,26.545721,704.6753,1.8822868,24.628992,606.5872,45.47764,13.963467,194.9784,1.2787272,16.281956,265.1021,32.267735,15.104277,228.13916,9.049939,17.19294,295.5972,19.613438,14.077586,198.17844,-5.0559363,10.578659,111.908035,10.9652,12.614506,159.12576,-4.000939,9.450344,89.309006,7.5248356,10.1087675,102.18719,-0.3369275,10.5969095,112.294495,1810.9528625566486,808.9879225800169,654461.4588803314,0.0592051400570379,0.04496095917757618,0.0020214878501676717,0.43464854,0.30595022,0.09360555,3993.1018661180397,1706.7334079602526,2912938.9258476184,2166.2806635962074,426.9861203998533,182317.147014118,22.190334916880264,7.94356943060023,63.10029529876646,0.0052727475,0.011141023,0.00012412238
reggae,0.10450613323193475,0.139737040823766,0.01952644057818285,-169.1751,76.79874,5898.0464,110.45037,34.858585,1215.1211,-8.545039,22.28136,496.459,43.8886,18.105587,327.81226,0.31697232,15.751384,248.1061,26.63677,11.99663,143.91911,-14.361242,16.12935,260.15594,13.035166,11.38722,129.6688,-11.153996,12.904507,166.52629,8.111965,10.968736,120.313156,-7.6773176,10.152948,103.08235,10.930495,8.841556,78.17311,-8.167288,9.606528,92.28539,1811.2349342438201,809.9022742719362,655941.6938708546,0.07214969124613302,0.05169738798456278,0.0026726199244264163,0.34869853,0.31243792,0.09761745,3842.8524008483178,1699.8142131879326,2889368.3593557104,2019.5616981233259,442.246958694305,195582.37247436235,22.135066814293012,8.185402384175866,67.00081219087194,0.004306812,0.008161353,6.660768e-05
reggae,0.13693495073633774,0.17734596676177755,0.03145159192666951,-69.00836,52.653824,2772.4253,79.147644,16.909721,285.93866,13.090506,22.847467,522.0068,29.389801,11.693056,136.72755,0.28301823,10.288419,105.851555,4.157034,8.532802,72.80871,-0.43785128,10.92808,119.42293,0.18406029,8.961376,80.30627,2.8089018,7.8167872,61.102165,0.60661185,8.87909,78.83825,-2.8005455,5.9686885,35.625244,-0.5115621,6.4590545,41.719383,-3.1768954,6.7595596,45.691647,2617.0246825399286,713.5053727002928,509089.9168721837,0.1031685790071539,0.05123886683696647,0.0026254214747363823,0.424284,0.28413758,0.080734156,5687.471847357164,1352.5101753026545,1829283.7742972171,2787.4363359575436,395.04793851334244,156062.8737236416,17.605238776682405,3.8853613443816917,15.096032776415507,0.033196658,0.032304812,0.0010436008
reggae,0.1312101661573202,0.1642264621810758,0.02697033088051232,-93.48225,62.38234,3891.5562,80.19273,27.454626,753.7565,-0.3176516,19.96854,398.74258,15.255078,18.623138,346.82126,4.350633,16.601145,275.59802,9.0576935,11.499403,132.23627,1.68182,17.830446,317.92484,2.550837,10.834498,117.38636,-4.29876,10.925551,119.367676,0.99544495,11.182808,125.0552,-1.7042422,9.38069,87.997345,-3.0092678,8.477476,71.86761,2.2648425,8.708853,75.84411,2671.459793472698,907.2919991857285,823178.771786436,0.11736196708236658,0.06142364449183797,0.003772864102659697,0.37585568,0.29257882,0.085602365,5675.389605387181,1788.4563625655085,3198576.1608010493,2716.5596232472026,451.0727971706634,203466.66834736645,17.882419570737106,3.863214178968901,14.924423792586362,0.05019863,0.07141922,0.0051007043
reggae,0.14170599175004817,0.17246424298556973,0.029743915108585636,-140.2903,64.242516,4127.1006,69.66449,33.10097,1095.6742,-9.971291,25.194744,634.77515,52.164635,20.64553,426.2379,3.2395134,17.900906,320.44244,4.563588,12.24386,149.91212,-3.490684,13.559396,183.85721,2.9232478,12.519595,156.74026,-6.5615134,12.080886,145.94781,-2.6554346,11.453554,131.1839,-1.7326635,10.006011,100.120255,-6.9407825,9.805753,96.15279,-5.8332243,9.237984,85.34034,2477.7986525615497,788.799806642947,622205.1349599506,0.1149432188950116,0.07015845476740055,0.004922208775349389,0.34257227,0.30671766,0.094075724,4712.09934880728,1126.6349653072077,1269306.345052773,2309.800344582826,291.2870976852436,84848.17327789267,19.213063644499766,4.605551867449787,21.211108003770217,0.026801856,0.039528072,0.0015624684
